code_station,libelle_station,libelle_cours_eau,libelle_commune,code_departement,latitude,longitude,module_m3s,q25_m3s,qmna5_m3s,nb_annees
O358461004,La Sorgues à Saint-Affrique - Viaduc,La Sorgue,SAINT-AFFRIQUE,12,43.956183,2.886754,6.5628,2.006,1.38,6
O358462201,Le ruisseau de Vailhauzy à Saint-Jean-d'Alcapiès [Source de l'Adoux] - Source de l'Adoux,Ruisseau de Vailhauzy,SAINT-JEAN-D'ALCAPIES,12,43.951223,2.962541,0.0652,0.028,0.01,13
O358462301,Le ruisseau de Vailhauzy à Saint-Affrique [Source de Dragonnière],Ruisseau de Vailhauzy,SAINT-AFFRIQUE,12,43.953714,2.939754,0.0838,0.015,0.008,20
O359402002,Le Dourdou [de Camarès] à Vabres-l'Abbaye - Le Poujol,Le Dourdou de Camarès,VABRES-L'ABBAYE,12,43.956344,2.829956,10.4685,2.74,1.589,37
O359402101,Le Len à Saint-Affrique [Source de Taillade] - Station de Len-Taillade,Le Len,SAINT-AFFRIQUE,12,43.99619,2.838502,0.0603,0.033,0.023,10
O360102001,Le Tarn à Brousse-le-Château,Le Tarn,BROUSSE-LE-CHATEAU,12,43.998112,2.621861,68.454,19.008,13.101,16
O375401001,Le Rance à Saint-Sernin-sur-Rance,Le Rance,SAINT-SERNIN-SUR-RANCE,12,43.886734,2.602191,3.5993,0.291,0.053,37
O500000201,Le Verlenque à Sévérac-le-Château [Source de Bastide] - Station de Bastide,Le Verlenque,SEVERAC D'AVEYRON,12,44.30228,3.071609,0.0275,0.016,0.013,22
O500000301,L'Aveyron à Sévérac-le-Château [Source de Cayrac] - Station de Cayrac,L'Aveyron,SEVERAC D'AVEYRON,12,44.308571,3.086359,0.0741,0.052,0.04,16
O500000401,Le Verlenque à Sévérac-le-Château [Source de Verlenque] - Station de Verlenque,Le Verlenque,SEVERAC D'AVEYRON,12,44.292638,3.073702,0.0179,0.01,0.009,20
O501000101,Le ruisseau de Buzareingues à Buzeins [Source Buzareingues] - Station de Buzareingues,Ruisseau de Buzareingues,BUZEINS,12,44.365566,3.007441,0.0229,0.01,0.006,16
O501000201,Le ruisseau de Tantayrou à Lapanouse [Source du Ségala] - Station de Ségala,Ruisseau de Tantayrou,LAPANOUSE,12,44.361342,3.022272,0.1726,0.046,0.017,21
O501000301,Le ruisseau de Tantayrou à Lapanouse [Source de Tantayrou] - Station de Tantayrou,Ruisseau de Tantayrou,LAPANOUSE,12,44.358084,3.018155,0.047,0.039,0.031,22
O503000101,Le Cuge à Vimenet [Source d'Esparses] - Station d'Esparses,Ruisseau de Cuge,VIMENET,12,44.395076,2.942135,0.0524,0.017,0.009,17
O503000201,Le Cuge à Vimenet [Source de Mayrinhac] - Station de Mayrinhac,Ruisseau de Cuge,VIMENET,12,44.39093,2.94947,0.1308,0.064,0.03,21
O504251002,L'Aveyron à Palmas - Pont-de-Manson,L'Aveyron,PALMAS D'AVEYRON,12,44.398829,2.846201,3.1293,0.628,0.292,55
O504551101,Le ruisseau de Brèves à Saint-Saturnin-de-Lenne [Source de Lestang] - Station de Lestang,Ruisseau de Brèves,SAINT-SATURNIN-DE-LENNE,12,44.412599,3.017193,0.218,0.077,0.026,26
O504551201,Le Serre à Campagnac - Station de Serre,Ruisseau de Serre,CAMPAGNAC,12,44.400981,3.08596,0.0244,0.004,0.002,21
O504551301,[La source de Duc] à Campagnac,,CAMPAGNAC,12,44.402546,3.07495,0.0407,0.005,0.002,20
O505501001,Le Serre à Coussergues [Resuenhe],Ruisseau de Serre,COUSSERGUES,12,44.415704,2.872496,1.0139,0.208,0.09,57
O509252002,L'Aveyron à Onet-le-Château,L'Aveyron,ONET-LE-CHATEAU,12,44.362513,2.621574,6.331,1.214,0.514,57
O516000101,L'Aveyron à Prévinquières,L'Aveyron,PREVINQUIERES,12,44.376562,2.232207,10.579,1.705,0.735,10
O519251003,L'Aveyron à Villefranche-de-Rouergue - Recoules,L'Aveyron,VILLEFRANCHE-DE-ROUERGUE,12,44.351717,2.065177,12.4277,2.447,1.069,57
O519254001,L'Aveyron à Villefranche-de-Rouergue [HE] - HE,L'Aveyron,VILLEFRANCHE-DE-ROUERGUE,12,44.350166,2.041225,17.0694,3.437,1.091,15
